EAGLE Version 7.7.0 Copyright (c) 1988-2016 CadSoft
List of signals with lengthSignal	l [mm]	diff. [mm]	diff. [%]	unrouted [mm]
5V5	0.000000000	0.000000000	--	--
PWRIN	0.000000000	0.000000000	--	--
PWR_INPUT	0.000000000	0.000000000	--	--
STAR	0.000000000	0.000000000	--	--
VIN	0.000000000	0.000000000	--	--
U11_W1	1.280117979	1.280117979	--	--
U3_W1	1.323509849	1.323509849	--	--
N$2	2.552852129	2.552852129	--	--
N$38	3.062573952	3.062573952	--	--
N$20	3.175455117	3.175455117	--	--
N$28	3.930897673	3.930897673	--	--
N$22	3.970689220	3.970689220	--	--
U11_AD0	4.395247555	4.395247555	--	--
N$34	4.410398506	4.410398506	--	--
U12_AD0	4.570643311	4.570643311	--	--
N$32	4.644562802	4.644562802	--	--
N$10	4.660708276	4.660708276	--	--
U3_AD0	4.818630786	4.818630786	--	--
N$1	5.523644785	5.523644785	--	--
U11_W2	5.551777038	5.551777038	--	--
N$35	5.719833062	5.719833062	--	--
N$7	5.784021400	5.784021400	--	--
U2_RFB	6.366740396	6.366740396	--	--
U7_INA+	6.627531586	6.627531586	--	--
U11_AD1	7.110825612	7.110825612	--	--
U3_AD1	7.373740308	7.373740308	--	--
U4_OUTB	7.454902461	7.454902461	--	--
U5_S3	7.738084117	7.738084117	--	--
U5_S2	9.066136022	9.066136022	--	--
U2_VIN	9.079667616	9.079667616	--	--
U12_W	9.310925046	9.310925046	--	--
U1_S3	9.347392738	9.347392738	--	--
U4_INA-	9.464608589	9.464608589	--	--
U3_A1	10.101684277	10.101684277	--	--
ZH	12.905488753	12.905488753	--	--
U4_INA+	15.681328061	15.681328061	--	--
U1_S2	16.116300309	16.116300309	--	--
ZL	17.750402297	17.750402297	--	--
U3_W2	19.041444175	19.041444175	--	--
U12_B	19.557305432	19.557305432	--	--
U2_MCLK	20.421231530	20.421231530	--	--
U4_OUTA	24.171823678	24.171823678	--	--
U7_OUTA	27.601815712	27.601815712	--	--
SEN	29.103284331	29.103284331	--	--
N$11	30.683312525	30.683312525	--	--
U1_S1	46.503969406	46.503969406	--	--
A01	47.430817007	47.430817007	--	--
EN1	52.870838959	52.870838959	--	--
A11	64.286153427	64.286153427	--	--
U7_INA-	71.080039600	71.080039600	--	--
AGND	92.390828328	92.390828328	--	--
VCC	150.233211454	150.233211454	--	--
SCL	159.832760042	159.832760042	--	--
SDA	167.436917875	167.436917875	--	--
VDD	187.069124214	187.069124214	--	--
GND	195.615416114	195.615416114	--	--
